Title,Genres,Tags,Director,Screenwriter,Actors,url
Time Flies and You Are Here,"['Historical', 'Romance', 'Youth']","['Love/Hate Relationship', ""Unhealthy Mains' Relationship"", 'Misunderstanding']",['Sun Kai Kai'],['Wu Tong'],"['Joseph Zeng', 'Liang Jie', 'Fan Zhi Xin']",['https://i.mydramalist.com/xJebq_4f.jpg']
My Annoying Roommate,"['Romance', 'Youth']","['School Setting', 'Multiple Mains', 'Web Series']",[],[],"['Ji Mei Han', 'Zhang Jia Shuo', 'Xu Bin']",['https://i.mydramalist.com/2wNYQV_4f.jpg']
W no Higeki,"['Thriller', 'Mystery', 'Drama']","['Adapted From A Novel', 'Prostitute Female Lead', 'Rich Female Lead']","['Katayama Osamu', 'Tsunehiro Jouta', 'Ueda Hisashi']","['Ouki Shizuka', 'Terada Toshio']","['Takei Emi', 'Kiritani Kenta', 'Wakamura Mayumi']",['https://i.mydramalist.com/rbb6pf.jpg']
Pleasantly Surprised,"['Food', 'Romance', 'Drama']","['Cooking', 'Chef Supporting Character', 'Chef Male Lead']",['Yeh Hung Wei'],[],"['Jasper Liu', 'Puff Kuo', 'Lene Lai']",['https://i.mydramalist.com/eYKPnf.jpg']
Dance of the Phoenix,"['Comedy', 'Romance', 'Wuxia']","['Sismance', 'Adapted From A Novel', 'Reverse-Harem']","['Chan Ka Lam', 'Wang Zhu Ming']",[],"['Yang Chao Yue', 'Xu Kai Cheng', 'Jinna Fu']",['https://i.mydramalist.com/QleeY_4f.jpg']
Dear Mr. Heavenly Fox,"['Historical', 'Comedy', 'Romance']","['Web Series', 'Family', '(Vote tags)']","['Li Yao Bo', 'Roger Lau', 'Mai Guan Zhi']",['Bi Yong'],"['Wang You Shuo', 'Lv Xiao Yu', 'James Yang']",['https://i.mydramalist.com/wJWp8b_4f.jpg']
Wanted,"['Mystery', 'Drama', 'Melodrama']","['Broadcasting Industry', 'Investigation', 'Thriller']",['Park Yong Soon'],"['Han Ji Wan', 'Han Ji Wan']","['Kim Ah Joong', 'Ji Hyun Woo', 'Uhm Tae Woong']",['https://i.mydramalist.com/qOJzQf.jpg']
Clean with Passion for Now,"['Business', 'Comedy', 'Romance']","['Boss-Employee Relationship', 'Phobia', 'Eccentric Male Lead']",['Noh Jong Chan'],['Han Hui Jeong'],"['Yoon Kyun Sang', 'Kim You Jung', 'Song Jae Rim']",['https://i.mydramalist.com/g0NLYq_4f.jpg']
Mirror of the Witch,"['Historical', 'Romance', 'Medical']","['Magic', 'Joseon Dynasty', 'Black Magic']",['Jo Hyun Tak'],['Yang Hyuk Moon'],"['Yoon Shi Yoon', 'Kim Sae Ron', 'Yeom Jung Ah']",['https://i.mydramalist.com/Brdq5f.jpg']
Be Your Own Light,"['Romance', 'Life']","['News Industry', 'News Station Setting', 'TV Presenter Female Lead']",['Yu Ding'],['Su Xiao Yuan'],"['Liu Tao', 'Qin Hai Lu', 'Liu Yu Ning']",['https://i.mydramalist.com/0wBB86_4f.jpg']
Reopen My Journals,"['Life', 'Youth', 'Drama']","['Emotionally Strong Female Lead', 'Supportive Neighbor', 'Neighborhood Setting']",['Li Zhi'],[],"['Li Yun Rui', 'Huangyang Tian Tian', 'Ni Hong Jie']",['https://i.mydramalist.com/JBbb2p_4f.jpg']
Marry Me,"['Historical', 'Mystery', 'Comedy']","['Rich Male Lead', 'Multiple Couples', 'Blindness']","['Vicky Wong', 'He Zhen Hua', 'Ho Chun Wah']",['Han Pei Zhen'],"['Xing Zhao Lin', 'Xiao Yan', 'Herman Li']",['https://i.mydramalist.com/kqjYg_4f.jpg']
Come to Me,"['Romance', 'Drama']","['Hacker Female Lead', 'Age Gap [Drama Life]', 'Age Gap [Real Life]']",[],[],"['Yang Mie Mie', 'Yu Long', 'Gao Ya']",['https://i.mydramalist.com/jQxxyy_4f.jpg']
Legal High,"['Mystery', 'Comedy', 'Law']","['Eccentric Male Lead', 'Sismance', 'Satire']",['Kim Jung Hyun'],['Park Seong Jin'],"['Jin Goo', 'Seo Eun Soo', 'Yoon Bak']",['https://i.mydramalist.com/ww3NJf.jpg']
Manhattan Love Story,"['Comedy', 'Romance', 'Drama']","['Café Setting', 'Barista Male Lead', 'Café Owner Male Lead']","['Doi Nobuhiro', 'Katayama Osamu', 'Tsuboi Toshio']",['Kudo Kankuro'],"['Matsuoka Masahiro', 'Koizumi Kyoko', 'Oikawa Mitsuhiro']",['https://i.mydramalist.com/YoPWAf.jpg']
Wanna Be,"['Business', 'Romance']","['Modeling Industry', 'Model Female Lead', 'Model Male Lead']",['Sun Cheng Zhi'],['Meng Hu'],"['CiCi Wang', 'Tang Xiao Tian', 'Jin Ze']",['https://i.mydramalist.com/73PLYN_4f.jpg']
Brave Yoshihiko and the Seven Driven People,"['Adventure', 'Comedy', 'Fantasy']","['Tokusatsu', '(Vote tags)']",['Fukuda Yuichi'],['Fukuda Yuichi'],"['Yamada Takayuki', 'Kinami Haruka', 'Muro Tsuyoshi']",['https://i.mydramalist.com/JkB2pf.jpg']
Here Is My Exclusive Indulge Season 2,"['Comedy', 'Romance']","['Manhua Artist Female Lead', 'Wheel Chair User', 'Short Length Series']",[],[],"['Lin Feng Song', 'Bao Chen Xi', 'Chen Si Qi']",['https://i.mydramalist.com/q0xWQ_4f.jpg']
Ultraman Nexus,"['Action', 'Tokusatsu', 'Sci-Fi']","['Superhero Male Lead', '(Vote tags)']","['Konaka Kazuya', 'Nemoto Miki', 'Yagi Takeshi']","['Hasegawa Keiichi', 'Araki Kenichi', 'Murai Sadayuki']","['Kawakubo Takuji', 'Kirishima Yusuke', 'Uchiyama Masato']",['https://i.mydramalist.com/MXxdOf.jpg']
Tokyo in April Is...,['Romance'],"['Office Worker Male Lead', 'Gay Male Lead', 'Gay Romance']","['Ishibashi Yuho', 'Honda Daisuke']",['Ishibashi Yuho'],"['Sakurai Yuki', 'Takamatsu Aloha', 'Furukawa Tsuyoshi']",['https://i.mydramalist.com/XdARgd_4f.jpg']
Final Fantasy XIV: Hikari no Otousan,"['Life', 'Family']","['Miniseries', 'Father-Son Relationship', 'Illness']","['Yamamoto Kiyoshi', 'Noguchi Teruo']",['Fukihara Kota'],"['Chiba Yudai', 'Osugi Ren', 'Ishino Mako']",['https://i.mydramalist.com/630v2f.jpg']
"Kurokawa Morio, Arubaito Sagashitemasu!",['Comedy'],"['Part-time Worker Supporting Character', 'Part-time Worker Male Lead', 'Flashback To Past']",[],['Murooka Yoshimiko'],"['Sugino Yosuke', 'Sugisaki Hana', 'Tozuka Junki']",['https://i.mydramalist.com/peb5D_4f.jpg']
Emergency Department Doctors,"['Romance', 'Drama', 'Medical']","['Hospital Setting', 'Doctor Female Lead', 'Doctor Male Lead']","['Zheng Xiao Long', 'Liu Xue Song']",['Juan Zi'],"['Zhang  Jia Yi', 'Wang  Luo Dan', 'Jiang Shan']",['https://i.mydramalist.com/nvLwWf.jpg']
Inborn Pair,"['Comedy', 'Romance', 'Drama']","['Marriage Of Convenience', 'Multiple Couples', 'Arranged Marriage']",[],"['Lin Pei Yu', 'Shao Hui Ting']","['Annie Chen', 'Chris Wang', 'Kunda Hsieh']",['https://i.mydramalist.com/5mQZ0f.jpg']
Rinne no Ame,"['Psychological', 'Drama']","['Neurodevelopmental Disorder', ""Brothers' Relationship"", 'Family Relationship']",[],[],"['Yamamoto Yusuke', 'Kanjiya Shihori', 'Seto Koji']",['https://i.mydramalist.com/90wNOf.jpg']
My Secret Romance,"['Comedy', 'Romance', 'Life']","['One-night Stand', 'Rich Man/Poor Woman', 'Meet Again']",['Kang Cheol Woo'],[],"['Sung Hoon', 'Song Ji Eun', 'Kim Jae Yeong']",['https://i.mydramalist.com/XZngpf.jpg']
Massaya,"['Historical', 'Romance', 'Drama']","['Forbidden Love', 'Family Pressure', 'Sassy Female Lead']",[],['Toto Natpaphat Phanphoemsiri'],"['Mook Mookda Narinrak', 'Mik Thongraya', 'Nat Arnus Rapanich']",['https://i.mydramalist.com/V4RdLf.jpg']
Pitsawat,"['Historical', 'Horror', 'Romance']","['Revenge', 'Reincarnation', 'Murder']",['Sant Srikaewlaw'],"['Pimsirin Pongwanichsuk', 'Oh Wantawil Suknoy']","['Nune Woranuch Bhirombhakdi', 'Pong Nawat Kulrattanarak', 'Jes Jespipat Tilapornputt']",['https://i.mydramalist.com/elvLWf.jpg']
Time,"['Mystery', 'Melodrama']","['Slight Romance', 'Revenge', 'Rich Man/Poor Woman']",['Jang Joon Ho'],['Choi Ho Cheol'],"['Kim Jung Hyun', 'Seo Hyun', 'Kim Jun Han']",['https://i.mydramalist.com/DXmrrf.jpg']
New Face,"['Thriller', 'Mystery', 'Romance']","['Plastic Surgery', 'Hidden Identity', 'Suspense']",[],[],"['Zhou Yi Wei', 'Mabel Yuan', 'Cao Xi Wen']",['https://i.mydramalist.com/X1mAg_4f.jpg']
Naze Shoujo wa Kioku wo Ushinawanakereba Naranakatta no ka?,"['Mystery', 'Psychological', 'Drama']","['Investigation', 'Mental Illness', 'Psychology']","['Ishida Masahiro', 'Morita Shunsuke']",[],"['Yamashita Tomohisa', 'Watanabe Konomi', 'Asari Yosuke']",['https://i.mydramalist.com/VXqLvf.jpg']
Drama Special Season 5: Bomi's Room,"['Drama', 'Family']","['Child Female Lead', 'Slight Romance', 'Awkward Male Lead']",['Kim Sang Hwi'],['Lee Ha Na'],"['Lee Young Ah', 'Ahn Seo Hyun', 'Shim Hyung Tak']",['https://i.mydramalist.com/BxLvqf.jpg']
Secret Theory of Kissing,"['Comedy', 'Romance', 'Youth']","['Student Supporting Character', 'Student Female Lead', 'Student Male Lead']",['Mi Puwadon Naosopa'],['Mi Puwadon Naosopa'],"['Gulf Kanawut Traipipattanapong', 'Fluk Chatchawan Jitraxtham', 'Ma Supattra Pinthong']",['https://i.mydramalist.com/18lPR_4f.jpg']
I Will Knock You,"['Comedy', 'Romance', 'Youth']","['Gay Romance', 'LGBTQ+', 'Student Male Lead']",['Champ Weerachit Thongjila'],['Champ Weerachit Thongjila'],"['Tar Atiwat Saengtien', 'Bom Tanawat Hiruntrarud', 'Fresh Arisara Wongchalee']",['https://i.mydramalist.com/02EmN_4f.jpg']
Lah Ruk Sut Kob Fah,"['Action', 'Comedy', 'Romance']","['Forbidden Love', 'Sassy Female Lead', 'Power Struggle']",['Theerasak Promngern'],['Lalita Chantasartkosol'],"['Min Pechaya Wattanamontree', 'Weir Sukollawat Kanarot', 'Muay Angsana Buranon']",['https://i.mydramalist.com/Or2Ldf.jpg']
So Funny Youth,"['Comedy', 'Youth']","['Friendship', 'Student Supporting Character', 'Student Female Lead']",[],[],"['He Yu', 'Chen Yi Xin', 'Li Jia Hao']",['https://i.mydramalist.com/v0K4p_4f.jpg']
Dalja's Spring,"['Business', 'Comedy', 'Romance']","['Older Woman/Younger Man', 'Contract Relationship', 'Independent Female Lead']","['Lee Jae Sang', 'Park Chan Yool']",['Kang Eun Kyung'],"['Chae Rim', 'Lee Min Ki', 'Lee Hye Young']",['https://i.mydramalist.com/E2LWWf.jpg']
Flavour It's Yours,"['Food', 'Comedy', 'Romance']","['Ageusia', 'Boss-Employee Relationship', 'Rich Male Lead']",['Yi Lin'],['Wang Ruo Ke'],"['Ireine Song', 'Gong Jun', 'Dai Chao']",['https://i.mydramalist.com/vdk2Bf.jpg']
The Sixth Sense,"['Thriller', 'Romance', 'Supernatural']","['Adapted From A Novel', 'Suspense', 'Spirit']",[],"['Pranpramoon', 'Kia Sakchai Kiatpanya-opas']","['Ja Jittapa Jampatom', 'Eye Kamolned Ruengsri', 'Wawwa Nicha Chokprajakchat']",['https://i.mydramalist.com/rNjxZf.jpg']
Snow Eagle Lord,"['Romance', 'Wuxia', 'Drama']","['Xuanhuan', 'Fantasy World', 'Web Series']","['Lee Tat Chiu', 'Li Wen Long']",['Pan Jing'],"['Xu Kai', 'Gulnezer Bextiyar', 'Bai Shu']",['https://i.mydramalist.com/eYwoeq_4f.jpg']
The Proper Way to Write Love,['Romance'],"['Cheerful Male Lead', 'Gay Male Lead', 'Gay Romance']",[],[],"['Iwahashi Genki', 'Soma Satoru', 'Asahi Nanami']",['https://i.mydramalist.com/zBJ161_4f.jpg']
Heaven's Garden,"['Life', 'Drama', 'Family']","['Farm Setting', 'Father-Daughter Relationship', 'Mother-Daughter Relationship']",[],['Park Jung Hwa'],"['Yoo Ho Jung', 'Choi Bool Am', 'Uhm Hyun Kyung']",['https://i.mydramalist.com/9y6k6f.jpg']
Legend of Lin Ye,"['Comedy', 'Wuxia', 'Fantasy']","['Short Length Series', 'Xianxia', 'Web Series']",['Zhou Xiao'],['Zhou Mo'],"['Li Fei', 'Li Jun Chen', 'Ming Jia Jia']",['https://i.mydramalist.com/E5dkkQ_4f.jpg']
Lady Revenger Returns from the Fire,"['Action', 'Thriller', 'Historical']","['Face Swap', 'Hidden Identity', 'Identity Swap']",['Li Hong Yu'],[],"['Xu Lu', 'Miles Wei', 'Wu Chong Xuan']",['https://i.mydramalist.com/wJ28db_4f.jpg']
The Litchi Road,"['Historical', 'Drama']","['Widower Male Lead', 'Single Father Male Lead', 'Honest Male Lead']",['Cao Dun'],[],"['Lei Jia Yin', 'Yue Yun Peng', 'Nashi']",['https://i.mydramalist.com/5vVNqe_4f.jpg']
Cruel Romance,"['Historical', 'Romance', 'Crime']","['Male Chases Female First', 'Chinese Republican Era', 'Mafia']",['Lin He Long'],['Yuan Shuai'],"['Huang Xiao Ming', 'Joe Chen', 'Qiao Ren Liang']",['https://i.mydramalist.com/mOqD0f.jpg']
Damo,"['Historical', 'Mystery', 'Romance']","['Joseon Dynasty', 'Investigation', 'Separated Family']",['Lee Jae Gyoo'],"['Baek Hak Ki', 'Jung Hyung Soo']","['Ha Ji Won', 'Lee Seo Jin', 'Kim Min Joon']",['https://i.mydramalist.com/akA7vf.jpg']
The Great Ruler,"['Romance', 'Wuxia', 'Fantasy']","['Adapted From A Web Novel', 'Cultivation', 'Xuanhuan']","['Zhang Meng', 'Cheng Feng']",['Bai Yi Cong'],"['Roy Wang', 'Ouyang Na Na', 'Luo Ming Jie']",['https://i.mydramalist.com/XvgQxf.jpg']
Protect the Boss,"['Business', 'Comedy', 'Romance']","['Boss-Employee Relationship', 'Sismance', 'Love Square']",['Son Jung Hyun'],['Kwon Gi Yeong'],"['Choi Kang Hee', 'Ji Sung', 'Kim Jae Joong']",['https://i.mydramalist.com/RBk0gf.jpg']
An Lian Shi Ke Xing Xing Tang,"['Romance', 'Youth', 'Drama']","['Adapted From A Web Novel', 'Campus Setting', 'Short Length Series']",[],[],"['Zhi Chun He', 'Zhang Chi']",['https://i.mydramalist.com/5vw5pL_4f.jpg']
Stock Struck,"['Business', 'Comedy', 'Romance']","['Friendship', 'Multiple Mains', 'Phobia']",['Choi Ji Yeong'],"['Lee Ye Rim', 'Kim Yeon Ji', 'Yoon Soo Min', 'Im Yeon Soo']","['Han Ji Eun', 'Hong Jong Hyun', 'Jang Gwang']",['https://i.mydramalist.com/vV3OX_4f.jpg']
Birthday Letter,"['Historical', 'Romance', 'Drama']","['Past And Present', 'Meet Again', 'Miniseries']",[],[],"['Jeon So Min', 'Jeon Moo Song', 'Song Geon Hee']",['https://i.mydramalist.com/jAljyf.jpg']
Yamada Taro Monogatari,"['Comedy', 'Life', 'Youth']","['Nice Male Lead', 'Bromance', 'Friendship']","['Yamamuro Daisuke', 'Kawashima Ryutaro']","['Magy', 'Maggie']","['Ninomiya Kazunari', 'Sakurai Sho', 'Tabe Mikako']",['https://i.mydramalist.com/lyDyNf.jpg']
Guilty Flag,"['Mystery', 'Drama', 'Family']","['Investigation', 'Disappearance', 'Transportation Industry']","['Nakajima Satoru', 'Komuro Naoko', 'Sakuma Noriyoshi']",['Takano Minato'],"['Nishijima Hidetoshi', 'Miyazawa Rie', 'Yoshine Kyoko']",['https://i.mydramalist.com/jPWnv_4f.jpg']
Kiss Me Again: Pete-Kao,"['Romance', 'Drama']","['LGBTQ+', 'Smart Male Lead', 'Aggressive Male Lead']",['Champ Weerachit Thongjila'],"['Champ Weerachit Thongjila', 'Pratchaya Thavornthummarut', 'Lin Kullapat Klatanakan']","['Tay Tawan Vihokratana', 'New Thitipoom Techa-apaikhun', 'Mek Jirakit Thawornwong']",['https://i.mydramalist.com/0exDr_4f.jpg']
You from the Future,"['Romance', 'Sci-Fi']","['Company President (CEO) Male Lead', 'Secondary Couple', 'Cohabitation']",[],[],"['Luo Zheng', 'Ji Mei Han', 'Yang Ze']",['https://i.mydramalist.com/x4Azdw_4f.jpg']
Born for the Spotlight,['Drama'],"['Actress Female Lead', 'Friends To Rivals', 'Entertainment Industry']",['Yen Yi Wen'],['Yen Yi Wen'],"['Hsieh Ying Xuan', 'Cheryl Yang', 'Annie Chen']",['https://i.mydramalist.com/81JyVK_4f.jpg']
Cupid's Kitchen,"['Food', 'Comedy', 'Romance']","['Older Man/Younger Woman', 'Cooking', 'Adapted From A Novel']",['Li Jun'],['Meng Yao'],"['Ethan Juan', 'Song Zu Er', 'Liu Dong Qin']",['https://i.mydramalist.com/rLBmj_4f.jpg']
Rise from the Ashes,"['Historical', 'Romance', 'Fantasy']","['Short Length Series', 'Stolen Identity', 'Revenge']",['Dai Qi'],[],"['Jiang Zhi Nan', 'Li Chung Lin', 'Zha Jie']",['https://i.mydramalist.com/pdOYL8_4f.jpg']
My Ride,"['Comedy', 'Romance', 'Medical']","['Slow Burn Romance', 'Doctor Male Lead', 'Gay Male Lead']",['Por Saroch Nuamsamran'],"['Fluke Teerapat Lohanan', 'Tanachot Prapasri']","['Fame Chawinroj Likitchareonsakul', 'Fluke Jeeratch Wongpian', 'Oat Sumethi Namkerd']",['https://i.mydramalist.com/pel6D_4f.jpg']
Down with Love,"['Comedy', 'Romance']","['Tomboy Female Lead', 'Love Square', 'Nanny Female Lead']",['Ke Han Chen'],[],"['Jerry Yan', 'Ella Chen', 'Michael Zhang']",['https://i.mydramalist.com/607NKf.jpg']
Chasing the Undercurrent,"['Mystery', 'Crime']","['Police Officer Male Lead', 'Organized Crime', 'Slow Burn Story']",['Tian Yi'],['Liu Hong Yan'],"['Johnny Huang', 'Tony Yang', 'Gai Yue Xi']",['https://i.mydramalist.com/jzm8y_4f.jpg']
DOCTORS Saikyou no Meii Season 3,"['Drama', 'Medical']","['Hospital Setting', 'Surgeon Male Lead', 'Doctor Supporting Character']","['Tsunehiro Jouta', 'Motohashi Keita']",['Fukuda Yasushi'],"['Sawamura Ikki', 'Takashima Masanobu', 'Masana Bokuzo']",['https://i.mydramalist.com/meQpqf.jpg']
Royal Doctor,"['Historical', 'Comedy', 'Romance']","['Time Travel', 'Medical', 'Doctor Male Lead']",['Chudapa Chantakett'],['Jinjo'],"['Mario Maurer', 'Kimberley Anne Woltemas', 'Masu Junyangdikul']",['https://i.mydramalist.com/pojqD_4f.jpg']
The Chaser,"['Action', 'Thriller', 'Mystery']","['Investigation', 'Reporter Supporting Character', 'Conspiracy']","['Jo Young Kwang', 'Jin Hyeok', 'Jo Nam Gook']",['Park Kyung Soo'],"['Son Hyun Joo', 'Kim Sang Joong', 'Kim Sung Ryung']",['https://i.mydramalist.com/qkoKBf.jpg']
The Mysteries of Love,"['Thriller', 'Mystery', 'Law']","['Police Procedural', 'Rich Man/Poor Woman', 'Family Relationship']",['Lau Ka Ho'],['Lau Ka Ho'],"['Raymond Lam', 'Tavia Yeung', 'Kenneth Ma']",['https://i.mydramalist.com/3oj2jf.jpg']
"Loving, Never Forgetting","['Romance', 'Drama', 'Melodrama']","['Child Custody', 'One-night Stand', 'Naive Female Lead']",['Tsang Lai Chun'],[],"['Jerry Yan', 'Tong Li Ya', 'Wang Yin Tong']",['https://i.mydramalist.com/QJkD7f.jpg']
The Flowers Are Blooming,"['Historical', 'Comedy', 'Romance']","['Princess Female Lead', 'Multiple Couples', 'First Love']",['Kenne Yam'],[],"['Xu Jia Qi', 'Huang Sheng Chi', 'Wu Yang']",['https://i.mydramalist.com/BY0mq_4f.jpg']
Drama Special Season 5: Bride in Sneakers,"['Mystery', 'Comedy', 'Romance']","['Nice Male Lead', 'Unlucky Female Lead', 'Webtoon Artist Male Lead']",['Lee Eun Jin'],['Yoo Jeong Hui'],"['Lee Chung Ah', 'Kim Jin Woo', 'Lee Yi Kyung']",['https://i.mydramalist.com/44EYkf.jpg']
Unexpected,"['Comedy', 'Romance', 'Drama']","['Crossworlds Traveler', 'Love/Hate Relationship', 'Drowning']",[],"['Nan Zhen', 'Li Zhi Min']","['Austin Lin', 'Li Hao Fei', 'Huang Jun Jie']",['https://i.mydramalist.com/0Ojr7f.jpg']
Joker Yurusarezaru Sousakan,"['Thriller', 'Mystery', 'Drama']","['Detective Male Lead', 'Investigation', 'Police Department Setting']","['Hijikata Masato', 'Ishikawa Junichi', 'Tsuzuki Junichi']",['Muto Shogo'],"['Sakai Masato', 'Nishikido Ryo', 'Watanabe Anne']",['https://i.mydramalist.com/GJ8Jaf.jpg']
War of Money,"['Business', 'Romance']","['Adapted From A Manhwa', 'Riches To Rags', 'Love/Hate Relationship']","['Miyake Yoshishige', 'Suzuki Kosuke', 'Shiraki Keiichiro']",['Goto Noriko'],"['Kimura Fumino', 'Oshima Yuko', 'Kusanagi Tsuyoshi']",['https://i.mydramalist.com/0ZNg4_4f.jpg']
My Girl,['Drama'],"['Adapted From A Manga', 'Death Of A Mother', 'Single Father Male Lead']","['Takahashi Nobuyuki', 'Aso Manabu']","['Oshima Satomi', 'Arai Shuuko']","['Aiba Masaki', 'Ishii Momoka', 'Yamazaki Hajime']",['https://i.mydramalist.com/3oOnD4_4f.jpg']
Mahou no Rinobe,"['Business', 'Life', 'Drama']","['Miniseries', 'Adapted From A Manga', 'Workplace Setting']","['Honda Ryuichi', 'Ruto Toichiro']",['Ueda Makoto'],"['Haru', 'Mamiya Shotaro', 'Endo Kenichi']",['https://i.mydramalist.com/B6dVl_4f.jpg']
Born to be a Flower,"['Romance', 'Drama']","['Bar Setting', 'Death Of A Mother', 'Self-destructive Female Lead']","['Kariyama Shunsuke', 'Otsuka Kyoji']",['Nojima Shinji'],"['Ishihara Satomi', 'Mineta Kazunobu', 'Yoshine Kyoko']",['https://i.mydramalist.com/JxbVwf.jpg']
Ossan's Love Returns Telasa Spin Off: Forbidden Gout Temps Nouveau,"['Comedy', 'Romance', 'Drama']","['Gay Male Lead', 'Gay Supporting Character', 'Gay Romance']",[],['Tokuo Koji'],"['Tanaka Kei', 'Hayashi Kento', 'Iura Arata']",['https://i.mydramalist.com/rNO8N2_4f.jpg']
Until I Destroyed My Husband's Family,"['Thriller', 'Psychological', 'Romance']","['Extramarital Affair', 'Revenge', 'Secret Second Family']","['Muroi Takehito', 'Ueda Jin', 'Yoshida Taizo']","['Kishimoto Ayuka', 'Kato Ayako']","['Matsumoto Marika', 'Takezai Terunosuke', 'Nonami Maho']",['https://i.mydramalist.com/vXz1BZ_4f.jpg']
Hayabusa Fire Brigade,['Mystery'],"['Crime Against A Property', 'Publishing Editor Supporting Character', 'Videographer Female Lead']","['Tsunehiro Jouta', 'Yamamoto Daisuke']",['Kosaka Takafumi'],"['Nakamura Tomoya', 'Kawaguchi Haruna', 'Mitsushima Shinnosuke']",['https://i.mydramalist.com/vXv3bX_4f.jpg']
Mara Clara,"['Romance', 'Youth', 'Drama']","['School Setting', 'Spoiled Female Lead', 'Family Relationship']","['Tots Mariscal', 'Jerome Chavez Pobocan']","['David Franche Diuco', 'Reggie Amigo', 'Allan Cuadra', 'Danica Domingo']","['Kathryn Bernardo', 'Julia Montes', 'Gina Pareno']",['https://i.mydramalist.com/QdW17f.jpg']
Prissana,"['Historical', 'Romance', 'Drama']","['Slow Burn Romance', 'Older Man/Younger Woman', 'Character Development']",['Pin Kriengkraisakul'],['Pranpramoon'],"['Taya Rogers', 'Tik Jesdaporn Pholdee', 'Paul Pattarapol Silapajarn']",['https://i.mydramalist.com/14DERf.jpg']
Sunny Again Tomorrow,"['Romance', 'Drama']","['Mother-Daughter Relationship', 'Family Secret', 'Cold Man/Warm Woman']",['Uh Soo Sun'],['Kim Min Ju'],"['Seol In Ah', 'Jin Joo Hyung', 'Ha Seung Ri']",['https://i.mydramalist.com/nd2q2f.jpg']
Paen Rai Long Tai Wa Rak,"['Romance', 'Drama']","['Age Gap [Drama Life]', 'Age Gap [Real Life]', 'Fake Pregnancy']",['Rutaiwan Wongsirasawad'],[],"['Aun Witaya Wasukraipaisarn', 'Mae Nisachon Tuamsoongnuen', 'Pat Chatburirak']",['https://i.mydramalist.com/b2JjNf.jpg']
"Legendary Boss, Sho","['Action', 'Comedy', 'Youth']","['Body Double Male Lead', 'Student Male Lead', 'School Setting']","['Ueda Hisashi', 'Sumida Takashi']",['Furuya Kazunao'],"['Takahashi Fumiya', 'Sekimizu Nagisa', 'Igeta Hiroe']",['https://i.mydramalist.com/E5QR4O_4f.jpg']
Pumpkin Time,"['Romance', 'Youth', 'Sports']","['Meet Again', 'First Love', 'Baseball Player Male Lead']",['Kang Min Gu'],['Seok Bo Bae'],"['Shin Hyun Seung', 'Lee Soo Min', 'Choi Yu Jin']",['https://i.mydramalist.com/15RQz_4f.jpg']
Our Skyy,"['Comedy', 'Romance', 'Drama']","['Bisexual Male Lead', 'LGBTQ+', 'Multiple Mains']","['Jane Kitt Bottasri', 'Aof Noppharnach Chaiyahwimhon', 'Lit Phadung Samajarn', 'Film Pawis Sowsrion']","['Aof Noppharnach Chaiyahwimhon', 'Lit Phadung Samajarn', 'Film Pawis Sowsrion', 'Huad Naruchan Sakunjan', 'Aea Ravipon Pumruang', 'Nutt Nutthakorn Phorntiramongkol', 'Thanyathorn O-suwankul']","['Gun Atthaphan Phunsawat', 'Off Jumpol Adulkittiporn', 'Pluem Purim Rattanaruangwattana']",['https://i.mydramalist.com/yEK73f.jpg']
Bad Papa,"['Adventure', 'Romance', 'Drama']","['Boxing', 'Difficult Adulthood', 'Special Ability']",['Jin Chang Gyu'],['Kim Sung Min'],"['Jang Hyuk', 'Son Yeo Eun', 'Shin Eun Soo']",['https://i.mydramalist.com/EJm55f.jpg']
The Accidental Couple,"['Comedy', 'Romance']","['Fake Marriage', 'Contract Relationship', 'Love Triangle']",['Ki Min Su'],[],"['Hwang Jung Min', 'Kim Ah Joong', 'Joo Sang Wook']",['https://i.mydramalist.com/M36eGf.jpg']
SF8: Blink,"['Action', 'Thriller', 'Sci-Fi']","['Orphan Female Lead', 'Artificial Intelligence', 'Adapted From A Short Story']",['Han Ka Ram'],['Han Ka Ram'],"['Lee Si Young', 'Ha Joon', 'Lee Joon Hyuk']",['https://i.mydramalist.com/qxVz5_4f.jpg']
My Love Mix-Up!,"['Comedy', 'Romance', 'Youth']","['Adapted From A Manga', 'Secret Crush', 'Misunderstanding']",['Au Kornprom Niyomsil'],"['Pratchaya Thavornthummarut', 'Bee Pongsate Lucksameepong']","['Fourth Nattawat Jirochtikul', 'Gemini Norawit Titicharoenrak', 'Chokun Puttipong Jitbut']",['https://i.mydramalist.com/wJe8dJ_4f.jpg']
The Good Wife,"['Law', 'Romance', 'Drama']","['Non-MDL Remake', 'Married Supporting Character', 'Married Female Lead']","['Tsukahara Ayuko', 'Yamamoto Takeyoshi']",['Shinozaki Eriko'],"['Tokiwa Takako', 'Koizumi Kotaro', 'Karasawa Toshiaki']",['https://i.mydramalist.com/2Wqmw_4f.jpg']
You're All Surrounded Special,"['Action', 'Mystery', 'Comedy']","['Investigation', 'Drama', '(Vote tags)']",[],[],"['Lee Seung Gi', 'Go A Ra', 'Cha Seung Won']",['https://i.mydramalist.com/KpWVJf.jpg']
